word,type_name
A,determiner
A,noun
A battery,noun
a cappella,adverb
a cappella singing,noun
a fewa,adjective
a fortiori,adverb
a Kempis,noun
a la carte,adverb
a la mode,adverb
A level,noun
a lot,adverb
a posteriori,adverb
a priori,adverb
A-horizon,noun
A-list,noun
a-okp,adjective
A-scan ultrasonography,noun
A-team,noun
a—the,verb
a’,determiner
a´,determiner
a´´,determiner
a´´´,determiner
aa,noun
aaa,noun
Aah,exclamation
Aalborg,noun
aalii,noun
Aalst,noun
Aalto,noun
aardvark,noun
aardwolf,noun
Aare,noun
Aaron,noun
Ab,noun
Ab,noun
Ab,noun
aba,noun
abaca,noun
aback,adverb
abactinal,adjective
abacus,noun
Abadan,noun
abaft,adverb
abalone,noun
abampere,noun
abandon,verb
abandoned,adjective
abandoned,verb
abandoned person,noun
abandoned ship,noun
abandoning,verb
abandonment,noun
abandons,verb
abarticulation,noun
abase,verb
abased,verb
abasement,noun
abash,verb
abashed,adjective
abashed,adjective
abashed,verb
abashes,verb
abashing,verb
abashment,noun
abasia,noun
abasia trepidans,noun
abasic,adjective
abasing,verb
abatable,adjective
abatable nuisance,noun
abate,verb
abated,verb
abatement,noun
abatement of a nuisance,noun
abatements,noun
abates,verb
abating,verb
abator,noun
abattis,noun
abattoir,noun
abattoirs,noun
abaxial,adjective
abaxially,adverb
abaya,noun
abbacy,noun
abbatial,adjective
abbe,noun
Abbe condenser,noun
abbess,noun
abbey,noun
abbeys,noun
abbot,noun
abbots,noun
abbreviate,verb
abbreviated,verb
abbreviating,verb
abbreviation,noun
abbreviations,noun
abc,noun
abc,noun
abcoulomb,noun
abdicable,adjective
abdicate,verb
abdicated,verb
abdicating,verb
abdication,noun
abdicator,noun
abdomen,noun
abdomens,noun
abdominal,adjective
abdominal actinomycosis,noun
abdominal aorta,noun
abdominal aortic aneurysm,noun
abdominal breathing,noun
abdominal cavity,noun
abdominal pregnancy,noun
abdominal wall,noun
abdominocentesis,noun
abdominoplasty,noun
abdominous,adjective
abdominousness,noun
abdominovesical,adjective
abducens muscle,noun
abducent,noun
abduct,verb
abducted,verb
abducting,verb
abduction,noun
abductor,noun
abductors,noun
abducts,verb
abeam,adverb
abecedarian,noun
abecedarian,noun
abecedarius,noun
abed,adverb
Abel,noun
Abelard,noun
abelia,noun
Abelian group,noun
Abelmoschus,noun
abelmosk,noun
Aberdare,noun
Aberdeen,noun
Aberdeen,noun
Aberdeen Angus,noun
Aberdonian,adjective
aberrance,noun
aberrant,adjective
aberrate,verb
aberration,noun
aberrations,noun
abet,verb
abetalipoproteinemia,noun
abetment,noun
abetted,verb
abetting,verb
abettor,noun
abettors,noun
abeyance,noun
abeyant,adjective
abfarad,noun
abhenry,noun
abhor,verb
abhorred,verb
abhorrence,noun
abhorrent,adjective
abhorrer,noun
abhorring,verb
abhors,verb
abidance,noun
abiding,adjective
Abidjan,noun
abience,noun
abient,adjective
Abies,noun
Abilene,noun
abilities,noun
ability,noun
abiogenesis,noun
abiogenetic,adjective
abiogenist,noun
abiotrophy,noun
abject,adjective
abjection,noun
abjectly,adverb
abjure,verb
abjured,verb
abjurer,noun
abjuring,verb
Abkhaz,noun
Abkhazian,noun
ablactation,noun
ablate,verb
ablated,verb
ablating,verb
ablation,noun
ablative,noun
ablative absolute,noun
ablaut,noun
ablaze,adjective
ablazep,adjective
able,adjective
able seaman,noun
ableism,noun
ablepharia,noun
abler,adjective
ablest,adjective
abloom,adjective
ablution,noun
ablutionary,adjective
ably,adverb
Abnaki,noun
abnegate,verb
abnegated,verb
abnegating,verb
abnegation,noun
